index,artist_id,total_followers,genres,name,artist_popularity
1,6LqNN22kT3074XbTVUrhzX,8311262,"['dance pop', 'pop']",Kesha,81
2,3nFkdlSjzX9mRTtwJOzDYB,9579702,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",JAY-Z,85
3,1HY2Jd0NmPuamShAr6KMms,32915877,"['art pop', 'dance pop', 'pop']",Lady Gaga,92
4,5tKXB9uuebKE34yowVaU3C,1009481,"['dance pop', 'pop rap', 'post-teen pop']",Iyaz,66
5,2dnXvETqd6QKCJn821Orxg,9693,[],Norhye,33
6,0z4gvV4rjIZ9wHck67ucSV,5119693,['dance pop'],Akon,84
7,55Aa2cqylxrFIXC767Z865,15655875,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,88
8,55Aa2cqylxrFIXC767Z865,15655875,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,88
9,1yxSLGMDHlW21z4YXirZDS,8555740,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas,81
10,26dSoYclwsYLMAKD3tpOr4,15574360,"['dance pop', 'pop']",Britney Spears,83
11,4yBK75WVCQXej1p04GWqxH,2451912,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",Jeezy,72
12,1Xfmvd48oOhEWkscWyEbh9,2394033,"['hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Lloyd,69
13,3ipn9JLAPI5GUEo4y4jcoi,3145717,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ludacris,79
14,4pADjHPWyrlAF0FA7joK2H,1872289,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Jay Sean,68
15,1HY2Jd0NmPuamShAr6KMms,32915877,"['art pop', 'dance pop', 'pop']",Lady Gaga,92
16,3TVXtAsR1Inumwj472S9r4,93607109,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Drake,96
17,6vWDO969PvNqNYHIOW5v0m,39033477,"['pop', 'r&b']",Beyoncé,87
18,3BmGtnKgCSGYIUhmivXKWX,10644785,"['dance pop', 'pop', 'talent show']",Kelly Clarkson,78
19,1HY2Jd0NmPuamShAr6KMms,32915877,"['art pop', 'dance pop', 'pop']",Lady Gaga,92
20,1yxSLGMDHlW21z4YXirZDS,8555740,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas,81
21,32WkQRZEVKSzVAAYqukAEA,3699665,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",Lady A,68
22,06HL4z0CvFAxyc27GXpf02,126569203,['pop'],Taylor Swift,100
23,06HL4z0CvFAxyc27GXpf02,126569203,['pop'],Taylor Swift,100
24,55Aa2cqylxrFIXC767Z865,15655875,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,88
25,2qk9voo8llSGYcZ6xrBzKx,5513624,"['modern rock', 'rock']",Kings of Leon,77
26,3tJoFztHeIJkJWMrx0td2f,4749750,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Moneybagg Yo,77
27,3DiDSECUqqY1AuBP8qtaIa,12239280,"['neo soul', 'pop', 'r&b']",Alicia Keys,81
28,0N0d3kjwdY2h7UVuTdJGfp,555263,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",Cascada,69
29,6DPYiyq5kWVQS4RGwxzPC7,12877225,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,82
30,06HL4z0CvFAxyc27GXpf02,126569203,['pop'],Taylor Swift,100
