track_id,title,artists,explicit,track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,artist_id,total_followers,genres,artist_popularity
track_id,title,artists,explicit,track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,,,,
0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,Kesha,False,83,0.0991,0.755,199693,0.837,0,2,0.289,-2.718,0,0.142,120.028,4,0.714,6LqNN22kT3074XbTVUrhzX,8311262,"['dance pop', 'pop']",81
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,JAY-Z,True,80,0.0295,0.491,276920,0.956,0,11,0.46,-1.538,1,0.392,173.585,4,0.811,3nFkdlSjzX9mRTtwJOzDYB,9579702,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",85
2igwFfvr1OAGX9SKDCPBwO,Empire State Of Mind,Alicia Keys,True,80,0.0295,0.491,276920,0.956,0,11,0.46,-1.538,1,0.392,173.585,4,0.811,3DiDSECUqqY1AuBP8qtaIa,12239280,"['neo soul', 'pop', 'r&b']",81
0SiywuOBRcynK0uKGWdCnn,Bad Romance,Lady Gaga,True,82,0.00314,0.695,294573,0.921,5.26e-05,0,0.0842,-3.752,1,0.0363,119.007,4,0.714,1HY2Jd0NmPuamShAr6KMms,32915877,"['art pop', 'dance pop', 'pop']",92
5vlEg2fT4cFWAqU5QptIpQ,Replay,Iyaz,False,69,0.173,0.706,182307,0.751,0,9,0.168,-6.323,1,0.0708,91.031,4,0.195,5tKXB9uuebKE34yowVaU3C,1009481,"['dance pop', 'pop rap', 'post-teen pop']",66
3DamFFqW32WihKkTVlwTYQ,Fireflies,Owl City,False,76,0.0275,0.512,228347,0.662,0,3,0.118,-6.797,1,0.0439,180.114,4,0.472,07QEuhtrNmmZ0zEcqE9SF6,2430925,"['indietronica', 'pop']",70
1GIjlB6dx1nnY8obBcT57i,Sexy Bitch (Sexy Chick) (Instrumental),DJ Cover This,False,0,0.0802,0.766,205000,0.697,0.865,11,0.133,-4.489,0,0.0531,119.994,4,0.597,,,,
67T6l4q3zVjC5nZZPXByU8,Whatcha Say,Jason Derulo,False,67,0.0444,0.615,221253,0.711,0,11,0.145,-5.507,1,0.078,144.034,4,0.711,07YZf4WDAMNwqr4jfgOZ8y,12278094,"['dance pop', 'pop']",79
6Ph28ENj0Suh79QTKmTtyY,Down (As Made Famous By Jay Sean Featuring Lil Wayne),The Karaoke Crew,False,0,0.011,0.804,232866,0.569,0.0391,11,0.104,-6.165,0,0.0346,132.0,4,0.899,,,,
6wOYnPq1hPihRepcDClPUw,Meet Me Halfway,Black Eyed Peas,False,72,0.00474,0.798,284373,0.629,2.29e-05,11,0.324,-6.857,0,0.0735,130.002,4,0.4,1yxSLGMDHlW21z4YXirZDS,8555740,"['dance pop', 'pop', 'pop rap']",81
2d7fRuDlFZfKIoSuf8bhGv,3,Britney Spears,False,50,0.0518,0.701,205533,0.72,0,5,0.199,-1.948,0,0.0475,134.962,4,0.761,26dSoYclwsYLMAKD3tpOr4,15574360,"['dance pop', 'pop']",83
2hOfh0ks9dteTWk3LHkNyS,Hard (Karaoke / Instrumental),DJ Cover This,False,1,0.000454,0.579,257093,0.774,0.91,10,0.329,-4.857,0,0.0365,89.967,4,0.15,,,,
5jmSPhkQl5kLp6T0P3JL0g,BedRock (Karaoke / Instrumental),DJ Cover This,False,0,0.0202,0.935,242000,0.914,0.704,0,0.0573,-5.909,0,0.391,148.021,4,0.969,,,,
