artist_id,total_followers,genres,name,artist_popularity
6LqNN22kT3074XbTVUrhzX,8311262,"['dance pop', 'pop']",Kesha,81
3nFkdlSjzX9mRTtwJOzDYB,9579702,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",JAY-Z,85
1HY2Jd0NmPuamShAr6KMms,32915877,"['art pop', 'dance pop', 'pop']",Lady Gaga,92
5tKXB9uuebKE34yowVaU3C,1009481,"['dance pop', 'pop rap', 'post-teen pop']",Iyaz,66
2dnXvETqd6QKCJn821Orxg,9693,[],Norhye,33
0z4gvV4rjIZ9wHck67ucSV,5119693,['dance pop'],Akon,84
55Aa2cqylxrFIXC767Z865,15655875,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",Lil Wayne,88
1yxSLGMDHlW21z4YXirZDS,8555740,"['dance pop', 'pop', 'pop rap']",Black Eyed Peas,81
26dSoYclwsYLMAKD3tpOr4,15574360,"['dance pop', 'pop']",Britney Spears,83
4yBK75WVCQXej1p04GWqxH,2451912,"['atl hip hop', 'crunk', 'dirty south rap', 'gangster rap', 'old school atlanta hip hop', 'rap', 'southern hip hop', 'trap']",Jeezy,72
1Xfmvd48oOhEWkscWyEbh9,2394033,"['hip pop', 'pop rap', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Lloyd,69
3ipn9JLAPI5GUEo4y4jcoi,3145717,"['atl hip hop', 'dance pop', 'dirty south rap', 'hip hop', 'old school atlanta hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",Ludacris,79
4pADjHPWyrlAF0FA7joK2H,1872289,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",Jay Sean,68
3TVXtAsR1Inumwj472S9r4,93607109,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",Drake,96
6vWDO969PvNqNYHIOW5v0m,39033477,"['pop', 'r&b']",Beyoncé,87
3BmGtnKgCSGYIUhmivXKWX,10644785,"['dance pop', 'pop', 'talent show']",Kelly Clarkson,78
32WkQRZEVKSzVAAYqukAEA,3699665,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",Lady A,68
06HL4z0CvFAxyc27GXpf02,126569203,['pop'],Taylor Swift,100
2qk9voo8llSGYcZ6xrBzKx,5513624,"['modern rock', 'rock']",Kings of Leon,77
3tJoFztHeIJkJWMrx0td2f,4749750,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",Moneybagg Yo,77
3DiDSECUqqY1AuBP8qtaIa,12239280,"['neo soul', 'pop', 'r&b']",Alicia Keys,81
0N0d3kjwdY2h7UVuTdJGfp,555263,"['eurodance', 'europop', 'german techno', 'melbourne bounce international']",Cascada,69
6DPYiyq5kWVQS4RGwxzPC7,12877225,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",Dr. Dre,82
4OBJLual30L7gRl5UkeRcT,4892446,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",T.I.,76
0TImkz4nPqjegtVSMZnMRq,4169209,"['atl hip hop', 'contemporary r&b', 'dance pop', 'girl group', 'hip pop', 'r&b', 'urban contemporary']",TLC,72
2QycgFiuMbf6EiyqH9jeyY,11902,[],Richie Allen,45
2iojnBLj0qIMiKPvVhLnsH,7513749,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",Trey Songz,71
